student_id,class,reflection,sentiment
510_S01,510,這篇閱讀文章非常有意思，我覺得做答題目很有挑戰性，收穫很多！,正面 (Positive)
510_S02,510,題目太難了，看不太懂文章意思，時間不夠用，有點挫折。,負面 (Negative)
510_S03,510,今天完成任務獲得很多代幣，解題過程很順利，很有成就感。,正面 (Positive)
510_S04,510,閱讀介面字太小，而且討論區大家都回答很快，壓力好大。,負面 (Negative)
510_S05,510,文章內容很實用，對我寫作文有幫助，希望能多做這種題目。,正面 (Positive)
510_S06,510,只是為了拿獎勵隨便亂猜，根本不想讀那麼長的文字。,負面 (Negative)
510_S07,510,分析圖表滿有趣的，跟同學討論之後終於搞懂正確答案。,正面 (Positive)
510_S08,510,系統卡住很不順，題目敘述好複雜，完全不想繼續寫。,負面 (Negative)
510_S09,510,提問很引人深思，雖然寫錯幾題，但看解說就懂了。,正面 (Positive)
510_S10,510,無聊，不喜歡這個閱讀平台，希望功課可以少一點。,負面 (Negative)
510_S11,510,這篇閱讀文章非常有意思，我覺得做答題目很有挑戰性，收穫很多！,正面 (Positive)
510_S12,510,題目太難了，看不太懂文章意思，時間不夠用，有點挫折。,負面 (Negative)
510_S13,510,今天完成任務獲得很多代幣，解題過程很順利，很有成就感。,正面 (Positive)
510_S14,510,閱讀介面字太小，而且討論區大家都回答很快，壓力好大。,負面 (Negative)
510_S15,510,文章內容很實用，對我寫作文有幫助，希望能多做這種題目。,正面 (Positive)
510_S16,510,只是為了拿獎勵隨便亂猜，根本不想讀那麼長的文字。,負面 (Negative)
510_S17,510,分析圖表滿有趣的，跟同學討論之後終於搞懂正確答案。,正面 (Positive)
510_S18,510,系統卡住很不順，題目敘述好複雜，完全不想繼續寫。,負面 (Negative)
510_S19,510,提問很引人深思，雖然寫錯幾題，但看解說就懂了。,正面 (Positive)
510_S20,510,無聊，不喜歡這個閱讀平台，希望功課可以少一點。,負面 (Negative)
510_S21,510,這篇閱讀文章非常有意思，我覺得做答題目很有挑戰性，收穫很多！,正面 (Positive)
510_S22,510,題目太難了，看不太懂文章意思，時間不夠用，有點挫折。,負面 (Negative)
510_S23,510,今天完成任務獲得很多代幣，解題過程很順利，很有成就感。,正面 (Positive)
510_S24,510,閱讀介面字太小，而且討論區大家都回答很快，壓力好大。,負面 (Negative)
510_S25,510,文章內容很實用，對我寫作文有幫助，希望能多做這種題目。,正面 (Positive)
510_S26,510,只是為了拿獎勵隨便亂猜，根本不想讀那麼長的文字。,負面 (Negative)
510_S27,510,分析圖表滿有趣的，跟同學討論之後終於搞懂正確答案。,正面 (Positive)
510_S28,510,系統卡住很不順，題目敘述好複雜，完全不想繼續寫。,負面 (Negative)
510_S29,510,提問很引人深思，雖然寫錯幾題，但看解說就懂了。,正面 (Positive)
